assettreat,asset_comp,isrstock,palstock,tradestock6all,age,faminc,religion,female,BA_or_higher,left_2013,left_2015,p_index_2013,p_index_2015
1,1,0,1,0,51,8000,jewish,1,1,1,1,3.402458429,8.486988544
1,1,0,0,1,29,16000,jewish,1,1,0,1,8.148495555,3.966073096
1,1,0,1,0,38,16000,jewish,0,1,0,1,15.35216928,18.03174257
1,1,0,0,0,24,8000,jewish,0,0,0,1,-4.020610452,-1.078563482
1,1,0,1,0,45,8000,jewish,0,1,1,1,10.38673759,10.8252573
1,1,0,1,1,28,8000,jewish,0,0,0,0,-3.938569427,-5.425547957
1,1,1,0,1,54,24000,jewish,0,1,0,1,5.746171474,18.03174257
1,1,0,1,1,57,12000,jewish,0,0,0,1,15.05073428,18.03174257
1,1,0,1,0,43,24000,jewish,1,1,1,1,15.05073428,8.651765585
1,1,1,0,1,64,8000,jewish,1,0,0,0,-8.661177158,-3.416832983
1,1,0,0,0,43,3000,jewish,1,1,0,0,10.492208,-7.934696674
1,1,0,1,1,42,16000,jewish,0,1,0,0,-5.957416892,-5.246075392
0,0,0,0,1,63,12000,jewish,0,1,0,1,5.468165278,8.486988544
1,1,1,0,0,40,12000,jewish,1,1,0,0,-1.735508889,-5.761204958
1,0,0,1,0,61,12000,jewish,1,1,0,0,-3.938569427,-10.10818958
1,1,0,0,0,37,16000,jewish,1,0,0,1,0.537914932,8.651765585
1,0,0,1,1,37,3000,jewish,1,1,0,0,-6.039457917,-5.761204958
1,1,1,0,1,37,3000,jewish,1,0,0,1,10.66474319,6.31598711
0,0,0,0,0,28,8000,no religion,0,0,0,1,-1.782368422,3.439300358
1,1,1,0,0,35,12000,jewish,1,1,1,1,0.862780437,1.445280463
0,0,0,0,0,43,8000,jewish,0,0,0,1,-1.735508889,-3.245953619
1,1,1,0,1,34,24000,jewish,1,1,1,1,-1.758938581,1.445280463
1,1,0,0,0,28,3000,jewish,1,0,0,1,1.222827584,1.78952992
1,1,1,0,1,30,0,jewish,0,0,0,0,-1.179496795,3.96912396
0,0,0,0,1,40,12000,jewish,1,0,0,0,-1.375461668,-3.084227145
0,0,0,0,1,73,3000,jewish,1,0,0,0,7.463582754,-3.419884145
1,1,1,0,1,35,12000,jewish,1,0,0,0,-1.375461668,1.613108665
1,1,0,1,0,69,8000,jewish,0,1,0,0,-8.661177158,-3.419884145
1,1,0,1,1,45,16000,no religion,0,1,0,0,-1.179496795,3.966073096
0,0,0,0,1,24,16000,jewish,1,0,0,1,3.461069465,6.307393909
0,0,0,0,1,29,12000,jewish,1,0,0,0,-10.89941859,-10.10818958
1,1,1,0,0,35,12000,jewish,0,1,1,1,17.67245293,18.03174257
0,0,0,0,1,60,16000,jewish,0,0,0,0,17.67245293,10.8252573
0,0,0,0,1,45,12000,jewish,0,0,0,0,-10.89941859,-10.10818958
1,1,0,0,1,63,24000,jewish,1,1,0,0,5.397875905,-10.10818958
1,1,1,0,1,31,3000,jewish,0,0,0,0,-6.235423088,-0.725160912
0,0,0,0,0,30,3000,jewish,0,0,0,0,-6.422934532,-5.761204958
1,1,0,1,0,44,16000,jewish,0,1,0,0,5.8282125,NA
1,1,0,1,1,42,24000,jewish,1,1,0,0,17.67245293,8.651765585
1,1,1,0,1,56,16000,jewish,0,1,0,1,-1.782368422,-1.078563482
1,1,0,1,1,69,12000,jewish,0,1,1,1,8.148495555,18.03174257
0,0,0,0,0,34,12000,jewish,0,0,0,0,3.124452233,5.966195464
0,0,0,0,0,55,12000,jewish,0,0,0,0,5.526776314,6.310444474
1,0,0,1,0,47,12000,jewish,0,1,0,0,17.67245293,-10.10818958
1,0,0,1,0,23,0,jewish,1,0,0,0,-6.258852482,-10.10818958
1,1,0,1,0,50,12000,jewish,0,0,1,1,0.886210129,-3.416832983
